-,sp,_
8700,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4060,skill_1:3308,s1_missile*0:0,s1_missile*1:170,s1_missile*2:294,team_buff:865
-,sp,kd
15171,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5411,skill_1:5214,s1_missile*6:100,s1_missile*7:3578,team_buff:865
9483,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4466,skill_1:3639,s1_missile*0:0,s1_missile*1:187,s1_missile*2:324,team_buff:865
-,sp,rd
15083,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4919,skill_1:5451,s1_missile*6:105,s1_missile*7:3740,team_buff:865
9266,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4060,skill_1:3804,s1_missile*0:0,s1_missile*1:196,s1_missile*2:339,team_buff:865
-,sp,krd
16505,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5411,skill_1:5996,s1_missile*6:115,s1_missile*7:4114,team_buff:865
10106,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4466,skill_1:4184,s1_missile*0:0,s1_missile*1:216,s1_missile*2:373,team_buff:865
-,sp,b
13127,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4637,skill_1:4469,s1_missile*6:86,s1_missile*7:3067,team_buff:865
8236,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:3819,skill_1:3112,s1_missile*0:0,s1_missile*1:160,s1_missile*2:277,team_buff:865
-,sp,kb
14353,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5101,skill_1:4916,s1_missile*6:94,s1_missile*7:3374,team_buff:865
8973,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4201,skill_1:3423,s1_missile*0:0,s1_missile*1:176,s1_missile*2:305,team_buff:865
-,sp,rb
14270,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4637,skill_1:5139,s1_missile*6:99,s1_missile*7:3527,team_buff:865
8769,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:3819,skill_1:3579,s1_missile*0:0,s1_missile*1:184,s1_missile*2:319,team_buff:865
-,sp,krb
15611,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5101,skill_1:5653,s1_missile*6:109,s1_missile*7:3880,team_buff:865
9559,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4201,skill_1:3937,s1_missile*0:0,s1_missile*1:203,s1_missile*2:351,team_buff:865
-,sp,db
13871,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4919,skill_1:4740,s1_missile*6:91,s1_missile*7:3252,team_buff:865
8700,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4060,skill_1:3308,s1_missile*0:0,s1_missile*1:170,s1_missile*2:294,team_buff:865
-,sp,kdb
15171,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5411,skill_1:5214,s1_missile*6:100,s1_missile*7:3578,team_buff:865
9483,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4466,skill_1:3639,s1_missile*0:0,s1_missile*1:187,s1_missile*2:324,team_buff:865
-,sp,rdb
15083,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4919,skill_1:5451,s1_missile*6:105,s1_missile*7:3740,team_buff:865
9266,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4060,skill_1:3804,s1_missile*0:0,s1_missile*1:196,s1_missile*2:339,team_buff:865
-,sp,krdb
16505,Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:5411,skill_1:5996,s1_missile*6:115,s1_missile*7:4114,team_buff:865
10106,_c_Gala_Sarisse,5*,flame,bow,5930,[Forest_Bonds+Dear_Diary][Dreadking_Rathalos][Agito],!<hp30 every 180s & always connect hits>,roll fs,attack:0,force_strike:4466,skill_1:4184,s1_missile*0:0,s1_missile*1:216,s1_missile*2:373,team_buff:865
